Abbreviated Injury Scale
Acetabular fracture
Acheiropodia
Achilles tendon rupture
Acromioplasty
Adamantinoma
Adhesive capsulitis of shoulder
Advanced trauma life support
Ainhum
Akin osteotomy
Albers-Schonberg disease
Albright's hereditary osteodystrophy
Allis test
ALPSA lesion
Amelia (birth defect)
American Joint Replacement Registry
Amphiarthrosis
Andersson lesion
Aneurysmal bone cyst
Ankle replacement
Anterior cruciate ligament injury
Anterior cruciate ligament reconstruction
Antley–Bixler syndrome
Apert syndrome
Apley grind test
Apley scratch test
Apprehension test
Arachnodactyly
Arm fracture
Arthralgia
Arthritis
Arthrocentesis
Arthrodesis
Arthrogram
Arthrogryposis
Arthroplasty
Arthroscopy
Arthrotomy
Articular capsule
Articular cartilage repair
Astragalectomy
Autologous chondrocyte implantation
Avascular necrosis
Avulsion fracture
Baastrup's sign
Baker's cyst
Baksi's prosthesis
Ballottement
Bankart lesion
Bankart's fracture
Barlow maneuver
Barré–Liéou syndrome
Barton's fracture
Baumann's angle
Beals syndrome
Bechterew's
Bennett's fracture
Bifid rib
Bimalleolar fracture
Blount's disease
Blumensaat's line
Blunt trauma
Bohler's angle
Bone cutter
Bone cyst
Bone density
Bone disease
Bone fracture
Bone fracture healing
Bone grafting
Bone healing
Bone metastases
Bone mineral
Bone pathology
Bone remodeling
Bone resorption
Bone tumor
Bone
Bosworth fracture
Bouchard's nodes
Boutonniere deformity
Boxer's fracture
Brachydactyly
British Orthopaedic Association
Brodie abscess
Broström procedure
Brown tumor
Bruck syndrome
Brunelli procedure
Bryant's traction
Buddy wrapping
Bumper fracture
Bunion
Burst fracture
Calcaneal fracture
Camurati–Engelmann disease
Cancellous bone
Cartilage
Cartilaginous joint
Catel–Manzke syndrome
Cenani–Lenz syndactylism
Cervical dislocation
Cervical fracture
Cervical rib
Chalkstick fracture
Chance fracture
Chandler's disease
Charnley prosthesis
Charnley Retractor
Chauffeur's fracture
Child bone fracture
Chondroblast
Chondroblastoma
Chondrocyte
Chondrogenesis
Chondromalacia patellae
Chondromyxoid fibroma
Chondrosarcoma
Chopart's fracture-dislocation
Clarke's test
Clavicle fracture
Clay-shoveler fracture
Cleidocranial dysostosis
Clinodactyly
Club foot
Clubbed thumb
Cobb angle
Codman triangle
Cole carpenter syndrome
Colles' fracture
Combined tibia and fibula fracture
Compartment syndrome
Complex regional pain syndrome
Compression fracture
Computer-assisted orthopedic surgery
Congenital knee dislocation
Congenital limb deformities
Congenital patellar dislocation
Conradi–Hünermann syndrome
Coopernail's sign
Cortical bone
Cotrel–Dubousset instrumentation
Coxa valga
Coxa vara
Cozen's test
Crus fracture
Crush injury
Crush syndrome
Cubitus valgus
Cubitus varus
Cunningham shoulder reduction
Currarino syndrome
Danis–Weber classification
Darrach's procedure
Darrah procedure
De Quervain syndrome
Denis Browne bar
Denis classification
Destot's sign
Diaphysis
Diffuse idiopathic skeletal hyperostosis
Discectomy
Discoid meniscus
Dislocated shoulder
Dislocation of hip
Displacement (orthopedic surgery)
Distal radius fracture
Distraction osteogenesis
Drawer test
Dupuytren's contracture
Durkan's test
Duverney fracture
Dynamic compression plate
Dynamic hip screw
Dysplasia epiphysealis hemimelica
Early appropriate care
Ecchondroma
Ectrodactyly
Ectromelia
Ehlers–Danlos syndrome
Eiken syndrome
Elbow examination
Elbow extension test
Ellis–van Creveld syndrome
Enchondroma
Enchondromatosis
Ender's nail
Endochondral ossification
Endosteum
Enthesis
Epiphyseal plate
Epiphysiodesis
Epiphysis
Erlenmeyer flask deformity
Essex-Lopresti fracture
Evans technique
Evans-Jensen classification
Ewing's sarcoma
Exostosis
External fixation
Extraskeletal chondroma
Fairbank's changes
Fairbanks disease
Fat embolism
Femoral fracture
Femoral head ostectomy
Fibrocartilage callus
Fibrocartilage
Fibrosarcoma
Fibrous dysplasia of bone
Fibrous joint
Fibular fracture
Ficat classification
Finkelstein's test
Fixation (surgical)
Flat bone
Flat feet
Flexion teardrop fracture
Foot drop
Foot fracture
Forearm fracture
Frankel's sign
Freiberg disease
Froment's sign
Frykman classification
Gaenslen's test
Galeazzi fracture
Galeazzi test
Gamekeeper's thumb
Garden classification
Garre's sclerosing osteomyelitis
Gartland classification
Genu recurvatum
Genu valgum
Genu varum
Gerber's test
Gerdy's tubercle
Geriatric trauma
Giant-cell tumor of bone
Gigli saw
Gilula's Lines
Girdlestone's Procedure
Gorham's disease
Gosselin fracture
Greenstick fracture
Grosse-Kempf nail
Gruen zone
Gustilo open fracture classification
Guyon's Canal
Haglund's deformity
Hajdu–Cheney syndrome
Hallux rigidus
Hallux valgus
Hallux varus
Hammer toe
Hand deformity
Hand fracture
Hand of benediction
Hand surgery
Hangman's fracture
Haruguchi classification
Hardinge lateral approach to the hip
Harrington rod
Harris Hip Score
Harris lines
Harrison's groove
Haversian canal
Hawkin's classification
Hawkins-Kennedy test
Heberden's node
Hemarthrosis
Hematoma
Hemimelia
Herbert classification
Herbert screw
Herscovici classification
High ankle sprain
High tibial osteotomy
Hilgenreiner's line
Hill–Sachs lesion
Hip dysplasia (human)
Hip examination
Hip fracture
Hip replacement
Hip resurfacing
Hip spica cast
Hoffa fracture
Holdsworth fracture
Holstein–Lewis fracture
Hubscher's maneuver
Hueter-Volkmann law
Human musculoskeletal system
Hume fracture
Hume fracture
Humerus fracture
Humphrey's ligament
Hyaline cartilage
Hydroxylapatite
Hyperostosis
Hypertrophic pulmonary osteoarthropathy
Ideberg classification
Ilizarov apparatus
Infantile cortical hyperostosis
Injury Severity Score
Internal fixation
Intervertebral disc annuloplasty
Intervertebral disc arthroplasty
Intramedullary rod
Intramembranous ossification
Involucrum
Irregular bone
Iselin's disease
Jansen's metaphyseal chondrodysplasia
Jefferson fracture
Jobe's test
Joint dislocation
Joint locking (symptom)
Joint replacement
Joint replacement registry
Joint stiffness
Joint
Jones fracture
Juvenile osteoporosis
Kanavel's cardinal signs
Kapandji score
Kashin–Beck disease
