21 cm line
Abbe prism
Absorption spectroscopy
Absorption spectrum
Absorption wavemeter
Acoustic wave
Acoustic wave equation
Acoustics
Acousto-optic effect
Acousto-optic modulator
Acousto-optics
Airy disc
Airy wave theory
Alfvén wave
Alpha waves
Amphidromic point
Amplitude
Amplitude modulation
Analog sound vs. digital sound
Animal echolocation
Antarctic Circumpolar Wave
Antiphase
Aquamarine Power
Arrayed waveguide grating
Artificial wave
Atmospheric diffraction
Atmospheric wave
Atmospheric waveguide
Atom laser
Atomic clock
Atomic mirror
Audience wave
Autowave
Averaged Lagrangian
Babinet's principle
Backward wave oscillator
Bandwidth-limited pulse
beat
Berry phase
Bessel beam
Beta wave
Black hole
Blazar
Bloch wave
Blueshift
Boussinesq approximation (water waves)
Bow wave
Bragg diffraction
Bragg's law
Breaking wave
Bremsstrahlung
Electromagnetic radiation
Brillouin scattering
Bullet bow shockwave
Burgers' equation
Business cycle
Capillary wave
Carrier wave
Cherenkov radiation
Chirp
Ernst Chladni
Circular polarization
Clapotis
Closed waveguide
Cnoidal wave
Coherence (physics)
Coherence length
Coherence time
Cold wave
Collimated light
Collimator
Compton effect
Computation of radiowave attenuation in the atmosphere
Continuous phase modulation
Continuous wave
Convective heat transfer
Coriolis frequency
Coronal mass ejection
Cosmic microwave background radiation
Coulomb wave function
Cutoff frequency
Cutoff wavelength
Cymatics
Damped wave
Decollimation
Delta wave
Dielectric waveguide
Diffraction
Direction finding
Dispersion (optics)
Dispersion (water waves)
Dispersion relation
Dominant wavelength
Doppler effect
Doppler radar
Douglas Sea Scale
Draupner wave
Droplet-shaped wave
Duhamel's principle
E-skip
Earthquake
Echo (phenomenon)
Echo sounding
Echolocation (animal)
Echolocation (human)
Eddy (fluid dynamics)
Edge wave
Eikonal equation
Ekman layer
Ekman spiral
Ekman transport
El Niño–Southern Oscillation
Electroencephalography
Electromagnetic electron wave
Electromagnetic radiation
Electromagnetic wave
Electromagnetic wave cut-off
Electron
Elliott wave
Elliptical polarization
Emission spectrum
Envelope (waves)
Equatorial Rossby wave
Equatorial waves
Essential bandwidth
Evanescent wave
Extratropical cyclone
Extremely low frequency
F wave
Fabry–Pérot interferometer
Faraday wave
Fetch (geography)
Fourier series
Fraunhofer diffraction
Fraunhofer distance
Freak wave
Frequency
Frequency modulation
Fresnel diffraction
Fresnel equations
Fresnel integral
Fresnel lens
Fresnel number
Fresnel rhomb
Fresnel zone
Fresnel–Arago laws
Fundamental frequency
Gamma ray
Gamma ray burst
Gamma wave
Gaussian beam
Geometric optics
Geometrical optics
Geostrophic current
Gravitational radiation
Gravity wave
Groundwave
Group delay
Group velocity
Harmonic
Heat wave
Holography
Human echolocation
Hundred-year wave
Hurricane
Huygens' principle
Hydraulic jump
Hydrography
Hydropower
Hyperbolic partial differential equation
In phase
Inertial wave
Infragravity wave
Infrared gas analyzer
Inhomogeneous electromagnetic wave equation
Interference (wave propagation)
Interferometry
Internal wave
Inverse scattering transform
Ion acoustic wave
Irradiance
Kelvin wave
Kinematic wave
Knife-edge effect
Kondratiev wave
Lamb waves
Landau damping
Lee wave
Linear elasticity
Linear polarization
List of waves named after people
Long wavelength limit
Longitudinal mode
Longitudinal wave
Longwave
Love wave
Mach wave
Mach–Zehnder interferometer
Maelstrom
Magnetometer
Magnetosonic wave
Matter wave
Maxwell's equations
Mayer waves
Mechanical wave
Medical ultrasonography
Mediumwave
Megatsunami
Microbarom
Microwave
Microwave auditory effect
Microwave oven
Microwave plasma
Microwaving
Mie scattering
Millimeter cloud radar
Modulation
Monochromatic electromagnetic plane wave
Monochromator
Moonlight
Morning Glory cloud
Mu wave
Multipath propagation
Neural oscillation
Neutron
Nondispersive infrared sensor
Nonlinear Schrödinger equation
Nonlinear wave
Nonlinear X-wave
Normal mode
Ocean surface wave
Optical fiber
Optical waveguide
Oscillon
Out of phase
Outgoing longwave radiation
Overtone
Oyster wave energy converter
P-wave
Parabolic reflector
Periodic function
Phase (waves)
Phase difference
Phase inversion
Phase modulation
Phase velocity
Phonon
Photon
Pitch shifter (audio processor)
Planck constant
Planck's law
Plane wave
Polarization (waves)
Ponto-geniculo-occipital waves
PGO waves
Power standing wave ratio
pp-wave spacetime
Pressure wave
Prism
Proton
Pulsar
Pulsar wind nebula
Pulse wave velocity
Pulse-density modulation
QT interval
quadrature
Quadrature amplitude modulation
Quantum optics
Quantum tunneling
Quantum Zeno effect
Radar
Radar astronomy
Radar cross section
Radar gun
Radio propagation
Radio waves
Radiosity (heat transfer)
Rayleigh scattering
Rayleigh wave
Rayleigh–Jeans law
Redshift
Reflection coefficient
Reflection seismology
Refraction
Relativistic Doppler effect
Resonance
Resonator
Ring laser gyroscope
Ring modulation
Ring wave guide
Rip current
ripple
Ripple tank
Rogue wave (oceanography)
Rossby wave
Rossby-gravity waves
Rydberg constant
Rydberg formula
S-wave
Sample (signal)
Sawtooth wave
Schrödinger equation
Sea state
Seiche
Seismic wave
Seismograph
Seismology
Sellmeier equation
Shallow water equations
Shive wave machine
Shock wave
Shortwave
Signal velocity
Significant wave height
Sine wave
Single-sideband modulation
Sinusoidal plane-wave solutions of the electromagnetic wave equation
Skywave
Slow-wave potential
Slow-wave sleep
Slow-wave threshold
Sneaker wave
solitary wave
Soliton
Sonar
Sonic anemometers
Sound wave
Spark-gap transmitter
Spectroscopy
Speed of gravity
Speed of light
Speed of sound
Spike-and-wave
Spin wave
Square wave
Standing wave
Standing wave ratio
Stefan–Boltzmann law
Stokes drift
Stokes wave
Subharmonic
Super low frequency
Superharmonic
Superposition principle
Supersonic Wave Filter
Surface acoustic wave
Surface wave
Surface wave inversion
Surface wave magnitude
Surface-wave-sustained mode
Surfing
Sverdrup wave
Swell (ocean)
Synthetic aperture radar
T wave
Terrestrial gamma-ray flash
Terrestrial stationary waves
Theta wave
Tidal bore
Tidal power
Tidal resonance
Tide
Tired light theory
Transverse mode
Transverse wave
Traveling wave antenna
Traveling wave reactor
Traveling-wave tube
Triangle wave
Trigonometric function
Trojan wave packet
Tropical wave
Tsunami
Turbidity current
Ultra low frequency
Ultrasound
Ultraviolet catastrophe
Undertow (wave action)
Underwater wave
Undular bore
Velocity factor
Vestigial-sideband modulation
Vibrating string
Voltage standing wave ratio
Vortex
Vorticity
Wake
Wave (audience)
Wave base
Wave disk engine
Wave drag
Wave equation
Wave farm
Wave field synthesis
Wave function
Wave function collapse
Wave height
Wave impedance
Wave loading
Wave motor
Wave packet
Wave period
Wave plate
Wave pool
Wave pounding
Wave power
Wave propagation
Wave shoaling
Wave surface
Wave tank
Wave turbulence
Wave vector
Wave velocity
