A. Catrina Bryce
A. Elizabeth Adams
Abby Howe Turner
Abella
Ada Lovelace
Ada Yonath
Adele Goldberg (computer scientist)
Adrienne Mayor
Aglaonike
Agnes Arber
Agnes Fay Morgan Research Award
Agnes Mary Clerke
Agnes Pockels
Agnes Sime Baxter
Agnodice
Aisling Judge
Alejandra Bravo
Alenush Terian
Alessandra Giliani
Alexia Massalin
Alice Ball
Alice Cunningham Fletcher
Alice Eastwood
Alice L. Kibbe
Alice Leigh-Smith
Alice Middleton Boring
Alice Miller (psychologist)
Alice Pegler
Alice Stewart
Alice Y. Ting
Alicia Boole Stott
Allene Jeanes
Allison Randal
Almira Hart Lincoln Phelps
Amalie Dietrich
Amanda Chessell
Amy L. Lansky
Ana Aslan
Anat Cohen-Dayag
Andrea Bertozzi
Andrea Brand
Angela Clayton
Angela Merkel
Angela Orebaugh
Angioletta Coradini
Anita Borg
Anita Goel
Anita Harding
Anita K. Jones
Anita Roberts
Anja Cetti Andersen
Ann Bishop (biologist)
Ann Haven Morgan
Ann Kiessling
Ann Nelson
Anna Atkins
Anna Botsford Comstock
Anna J. Harrison
Anna Karlin
Anna Mani
Anna Maria Hussey
Anna Morandi Manzolini
Anna Nagurney
Anna Stecksén
Anna Sundström
Anna Winlock
Anne Brewis
Anne Condon
Anne Elizabeth Ball
Anne H. Ehrlich
Anne McLaren
Anne Rudloe
Anne Simon
Anne Stine Ingstad
Anne Thynne
Anne Warner (scientist)
Annette Salmeen
Annie Antón
Annie Curtis
Annie Dale Biddle Andrews
Annie Easley
Annie Francé-Harrar
Annie Jump Cannon
Annie Lorrain Smith
Annie Meinertzhagen
Annie Scott Dill Maunder
Anousheh Ansari
Antje Boetius
Antonia Maury
Arete of Cyrene
Ariel Hollinshead
Arfa Karim
Artemisia II of Caria
Ashawna Hailey
Asima Chatterjee
Association for Women Geoscientists
Association for Women in Mathematics
Astrid Cleve
Audrey Tang
Ayanna Howard
Barbara A. Schaal
Barbara J. Meyer
Barbara Liskov
Barbara McClintock
Barbara Simons
Beatrice Helen Worsley
Beatrice Mabel Cave-Browne-Cave
Beatrice Mintz
Beatrice Tinsley
Beatrix Potter
Bernadine Healy
Berta Lutz
Bertha Swirles
Beth Levine (physician)
Beth Shapiro
Beth Willman
Betsy Ancker-Johnson
Betty Holberton
Beyond Bias and Barriers
Birutė Galdikas
Brigitte Askonas
Bruria Kaufman
Caitlín R. Kiernan
Calrice di Durisio
Camilla Wedgwood
Cara Santa Maria
Carla J. Shatz
Carol A. Barnes
Carol Karp
Carol W. Greider
Carole Goble
Carole Jordan
Carole Meredith
Caroline Herschel
Carolyn Cohen
Carolyn Porco
Carolyn R. Bertozzi
Carolyn S. Gordon
Carolyn Talcott
Carolyne M. Van Vliet
Carrie Derick
Caryn Navy
Catharine Parr Traill
Catherine Bréchignac
Catherine Coleman
Catherine G. Wolf
Catherine Hickson
Cecilia Krieger
Cecilia Payne-Gaposchkin
Cecilia R. Aragon
Celia Grillo Borromeo
Charlotte Auerbach
Charlotte Barnum
Charlotte Froese Fischer
Charlotte Moore Sitterly
Charlotte Scott
Chen Hang
Chien-Shiung Wu
Chrisanthi Avgerou
Christiane Desroches Noblecourt
Christiane Nüsslein-Volhard
Christina Miller
Christina Roccati
Christine Buisman
Christine Hamill
Christine Marie Berkhout
Claire F. Gmachl
Claire Fagin
Claire M. Fraser
Claire Voisin
Clara H. Hasse
Clara Immerwahr
Clara Southmayd Ludlow
Claribel Kendall
Claudia Alexander
Cleopatra the Alchemist
Clémence Royer
Colette Rolland
Constance Calenda
Corinna E. Lathan
Cornelia Clapp
Cynthia Bathurst
Cynthia Breazeal
Cynthia Dwork
Cynthia E. Rosenzweig
Cynthia Kenyon
Cécile DeWitt-Morette
Dana Angluin
Dana Randall
Dana Ron
Dana Ulery
Danese Cooper
Daniela Kühn
Daniela L. Rus
Danielle Bunten Berry
Daphne Jackson
Daphne Koller
Daphne Osborne
Darshan Ranganathan
Dawn Prince-Hughes
Deborah Charlesworth
Deborah Estrin
Dian Fossey
Diana Baumrind
Diane Greene
Diane Griffin
Diane Pozefsky
Diane Souvaine
Dina Lévi-Strauss
Donna Auguste
Doris Mable Cochran
Dorit Aharonov
Dorotea Bucca
Dorothea Bennett
Dorothea Erxleben
Dorothea Jameson
Dorothea Klumpke
Dorothy E. Denning
Dorothy Garrod
Dorothy Hansine Andersen
Dorothy Hill
Dorothy Hodgkin
Dorothy Lewis Bernstein
Dorothy M. Needham
Dorothy Maud Wrinch
Edith Bülbring
Edith Marion Patch
Edith Pretty
Edna Grossman
Elaine Fuchs
Elaine Weyuker
Eleanor Anne Ormerod
Eleanor Glanville
Eleanor Maguire
Eli Fischer-Jørgensen
Elisabeth Altmann-Gottheiner
Elisabeth Hevelius
Élisabeth Lutz
Elizabeth Ann Nalley
Elizabeth Blackburn
Elizabeth Blackwell
Elizabeth Brown (astronomer)
Elizabeth Cabot Agassiz
Elizabeth Carne
Elizabeth Coleman White
Elizabeth Fulhame
Elizabeth Gertrude Britton
Elizabeth J. Feinler
Elizabeth Lee Hazen
Elizabeth Loftus
Elizabeth Nabel
Elizabeth Rather
Elizaveta Karamihailova
Elizaveta Litvinova
Ellen Gleditsch
Ellen Hayes
Ellen Spertus
Ellen Swallow Richards
Ellen Vitetta
Elsa Beata Bunge
Elsie M. Burrows
Elsie MacGill
Elsie Maud Wakefield
Elsie Widdowson
Emer Jones
Émilie du Châtelet
Emilie Snethlage
Emma P. Carr
Emmy Noether
Enid Mumford
Erika Pannwitz
Esther Lederberg
Esther M. Conwell
Esther Orozco
Ethel Browne Harvey
Ethel Sargant
Ethel Shakespear
Etheldred Benett
Etta Zuber Falconer
Eugenia Del Pino
Eugenie Clark
Eva Bayer-Fluckiger
Eva Ekeblad
Eva Nogales
Evelyn Berezin
Evelyn Boyd Granville
Evelyn Fox Keller
Evelyn Hu
Éva Tardos
Evi Nemeth
F. Gwendolen Rees
FASEB Excellence in Science Award
Fan Chung
Farzana Aslam
Faustina Pignatelli
Flora Wambaugh Patterson
Florence Bascom
Florence Nightingale
Florence R. Sabin
Florence Wambugu
Florentina Mosora
Fotini Markopoulou-Kalamara
Frances A. Rosamond
Frances Ashcroft
Frances Cave-Browne-Cave
Frances E. Allen
Frances Hardcastle
Frances Hugle
Frances Kirwan
Frances Meehan Latterell
Frances Theodora Parsons
Frances Yao
Francine Berman
Françoise Barré-Sinoussi
Frederica Darema
Gabriele Rabel
Gail Williams
Garvan–Olin Medal
Geertruida de Haas-Lorentz
George and Elizabeth Peckham
Gerta Keller
Gertrud Theiler
Gertrude B. Elion
Gertrude Bell
Gertrude Blanch
Gertrude Caton–Thompson
Gertrude Mary Cox
Gertrude Neumark
Gertrude Scharff Goldhaber
Gertrude Simmons Burlingham
Gerty Cori
Gillian Bates
Gisela Richter
Gisèle Lamoureux
Gitte Moos Knudsen
Giuseppa Barbapiccola
Gladys Kalema-Zikusoka
Glenda Schroeder
Grace Chisholm Young
Grace Evelyn Pickford
Grace Frankland
Grace Hopper
Greta Stevenson
Grete Hermann
Halszka Osmólska
Hannah Monyer
Harriet Boyd-Hawes
Harriet Brooks
Harriet Mann Miller
Harriet Margaret Louisa Bolus
Hava Siegelmann
Hazel Alden Reason
Hazel Bishop
Heather Couper
Heather Reid
Hedwig Kohn
Hedy Lamarr
Heidi Jo Newberg
Helen Dean King
Helen Flanders Dunbar
Helen G. Grundman
Helen Gwynne-Vaughan
Helen M. Berman
Helen Megaw
Helen Murray Free
Helen Porter
Helen Quinn
Helen Ranney
Helen Sharman
Helen T. Edwards
Henrietta Swan Leavitt
Henriette Avram
Herrad of Landsberg
Herta Freitag
Hertha Marks Ayrton
Hertha Sponer
Hertha Wambacher
Hilda Geiringer
Hilda Phoebe Hudson
Hilde Mangold
Hildegard of Bingen
Hu Hesheng
Huguette Delavault
Hypatia
Hélène Langevin-Joliot
Ida Henrietta Hyde
Ida Noddack
Ileana Streinu
Inge Lehmann
Ingrid Daubechies
Iota Sigma Pi
Irene Crespin
Irene Fischer
Irene Manton
Irene Uchida
