Ablation
Abradable coating
Abraham–Lorentz force
Absorption band
Accretion disk
Active galactic nucleus
Adiabatic invariant
ADITYA (tokamak)
Aeronomy
Afterglow plasma
Airglow
Air plasma
Corona treatment
Ayaks
Alcator C-Mod
Alfvén wave
Ambipolar diffusion
Aneutronic fusion
[1]
Anisothermal plasma
Anisotropy
Antiproton Decelerator
Appleton-Hartree equation
Arcing horns
Arc lamp
Arc suppression
ASDEX Upgrade
Astron (fusion reactor)
Astronomy
Astrophysical plasma
Astrophysical X-ray source
Atmospheric dynamo
Atmospheric escape
Atmospheric pressure discharge
Atmospheric-pressure plasma
Atom
Atomic emission spectroscopy
Atomic physics
Atomic-terrace low-angle shadowing
Auger electron spectroscopy
Aurora (astronomy)
Babcock Model
Ball lightning
Ball-pen probe
Ballooning instability
Baryon acoustic oscillations
Beam-powered propulsion
Beta (plasma physics)
Birkeland current
Blacklight Power
Blazar
Bohm diffusion
Bohr–van Leeuwen theorem
Boltzmann relation
Bow shock
Bremsstrahlung
Bussard ramjet
Capacitively coupled plasma
Carbon nanotube metal matrix composites
Cassini–Huygens
Cathode ray
Cathodic arc deposition
Ceramic discharge metal-halide lamp
Charge carrier
Charged-device model
Charged particle
Chemical plasma
Chemical vapor deposition
Chemical vapor deposition of diamond
Chirikov criterion
Chirped pulse amplification
Chromatography detector
Chromo–Weibel instability
Classical-map hypernetted-chain method
Cnoidal wave
Colored-particle-in-cell
Coilgun
Cold plasma
Ozone generator
Collisionality
Colored-particle-in-cell
Columbia Non-neutral Torus
Comet tail
Compact toroid
Compressibility
Compton–Getting effect
Contact lithography
Coupling (physics)
Convection cell
Cooling flow
Corona
Corona discharge
Corona ring
Coronal loop
Coronal radiative losses
Coronal seismology
Cosmic microwave background radiation
Cotton–Mouton effect
Coulomb collision
Coulomb explosion
Columbia Non-neutral Torus
Crackle tube
Critical ionization velocity
Crookes tube
Current sheet
Cutoff frequency
Cyclotron radiation
Debye length
Debye sheath
Deep reactive-ion etching
Degenerate matter
Degree of ionization
DEMO
Dense plasma focus
Dielectric barrier discharge
Diffusion damping
Dimensional analysis
Diocotron instability
Direct-current discharge
Directed-energy weapon
Direct bonding
distribution function
Doppler broadening
Doppler effect
Double layer (plasma)
Dual segmented Langmuir probe
Duoplasmatron
Dusty plasma
Dynamo theory
Earth's magnetic field
[2]
EAST
Ectons
Eddington luminosity
Edge-localized mode
Ekman number
Elastic collision
Electrical breakdown
Electrical conductor
Electrical mobility
Electrical resistance and conductance
Electrical resistivity and conductivity
Electrical treeing
Electrically powered spacecraft propulsion
Electric-field screening
Electric arc
Electric arc furnace
Electric current
Electric discharge
Electric spark
Electric Tokamak
Electrothermal-chemical technology
Electrodeless plasma excitation
Electrodeless plasma thruster
Electrodynamic tether
Electrohydrodynamic thruster
Electrolaser
Laser-Induced Plasma Channel
Electromagnetic electron wave
Electromagnetic field
Electromagnetic pulse
Electromagnetic spectrum
Electron-cloud effect
Electron
Electron avalanche
Electron beam ion trap
Electron cyclotron resonance
Electron density
Electron energy loss spectroscopy
Electron gun
Electron microprobe
Electron spiral toroid
Electron temperature
Electronvolt
Electron wake
Electrostatic discharge
Electrostatic ion cyclotron wave
Electrostatic ion thruster
Electrosurgery
Electrothermal instability
Electroweak epoch
Elemental analysis
Elliptic flow
Emission spectrum
Energetic neutral atom
Energy density
Energy filtered transmission electron microscopy
|Enhancement or quenching of QD, Q-wire and QW radiations|
Evanescent wave
Evershed effect
Excimer lamp
Excimer laser
Extraordinary optical transmission
Extreme ultraviolet
Extreme ultraviolet lithography
Failure analysis
FalconSAT
Faraday cup
Faraday effect
Far-infrared laser
Farley-Buneman instability
Fast Auroral Snapshot Explorer
Ferritic nitrocarburizing
Ferrofluid
Field line
Field-reversed configuration
Filament propagation
Finite-difference time-domain method
Fire
Fisher's equation
Fission fragment reactor
Fission-fragment rocket
Flame plasma
Flare spray
Flashtube
Flatness problem
Flowing-afterglow mass spectrometry
Fluid dynamics
Fluorescent lamp
Forbidden mechanism
Force-free magnetic field
Free-electron laser
Free electron model
F region
Appleton layer
Frequency classification of plasmas
Fusion energy gain factor
Fusion power
fusion torch
fusor
Galactic corona
Galactic halo
Gas
Gas-filled tube
Gas core reactor rocket
Gas cracker
Gas Electron Multiplier
Gaseous fission reactor
Gaseous ionisation detectors
Gas focusing
Gasification
Geissler tube
General Fusion
Geomagnetic storm
Geothermal Anywhere
Glasser effect
Glass frit bonding
Glow discharge
Glow-discharge optical emission spectroscopy
Grad–Shafranov equation
Granule (solar physics)
Great Rift (astronomy)
GreenSun Energy
Guiding center
Gunn–Peterson trough
GYRO
